"Player","Pos","Team","Avg","W-1","W-2","W-3","W-4","W-5","W-6","W-7","W-8","W-9","W-10","W-11","W-12","W-13","W-14","W-15","W-16","W-17"
"Jakob Johnson","RB","NE","0.282","0.328","0.236","","","","","","","","","","","","","","",""
"Tyler Ervin","RB","GB","0.2815","0.179","0.384","","","","","","","","","","","","","","",""
"Adrian Peterson","RB","DET","0.281","0.308","0.254","","","","","","","","","","","","","","",""
"Gus Edwards","RB","BAL","0.281","0.254","0.308","","","","","","","","","","","","","","",""
"Leonard Fournette","RB","TB","0.2775","0.129","0.426","","","","","","","","","","","","","","",""
"Tyler Kroft","TE","BUF","0.277","0.046","0.508","","","","","","","","","","","","","","",""
"Alexander Mattison","RB","MIN","0.275","0.365","0.185","","","","","","","","","","","","","","",""
"LeSean McCoy","RB","TB","0.2685","0.357","0.18","","","","","","","","","","","","","","",""
"Levine Toilolo","TE","NYG","0.261","0.353","0.169","","","","","","","","","","","","","","",""
"Jerick McKinnon","RB","SF","0.2595","0.306","0.213","","","","","","","","","","","","","","",""
"Blake Bell","TE","DAL","0.2565","0.111","0.402","","","","","","","","","","","","","","",""
"Trevon Wesco","TE","NYJ","0.256","0.143","0.369","","","","","","","","","","","","","","",""
"Sony Michel","RB","NE","0.2525","0.297","0.208","","","","","","","","","","","","","","",""
"Andy Janovich","RB","CLE","0.251","0.123","0.379","","","","","","","","","","","","","","",""
"John Hightower","WR","PHI","0.248","0.397","0.099","","","","","","","","","","","","","","",""
"Marvin Hall","WR","DET","0.2465","0.205","0.288","","","","","","","","","","","","","","",""
"Jeremy Sprinkle","TE","WAS","0.2455","0.4","0.091","","","","","","","","","","","","","","",""
"Darrell Henderson","RB","LAR","0.244","0.068","0.42","","","","","","","","","","","","","","",""
"C.J. Board","WR","NYG","0.239","0.309","0.169","","","","","","","","","","","","","","",""
"Brian Hill","RB","ATL","0.233","0.266","0.2","","","","","","","","","","","","","","",""
"David Njoku","TE","CLE","0.233","0.233","","","","","","","","","","","","","","","",""
"Darrel Williams","RB","KC","0.2315","0.333","0.13","","","","","","","","","","","","","","",""
"Marcus Baugh","TE","WAS","0.227","","0.227","","","","","","","","","","","","","","",""
"C.J. Ham","RB","MIN","0.2265","0.231","0.222","","","","","","","","","","","","","","",""
"Freddie Swain","WR","SEA","0.224","0.258","0.19","","","","","","","","","","","","","","",""
"Auden Tate","WR","CIN","0.221","0.221","","","","","","","","","","","","","","","",""
"Matt Breida","RB","MIA","0.2195","0.226","0.213","","","","","","","","","","","","","","",""
"Alec Ingold","RB","LVR","0.219","0.238","0.2","","","","","","","","","","","","","","",""
"Peyton Barber","RB","WAS","0.2145","0.414","0.015","","","","","","","","","","","","","","",""
"Mohamed Sanu","WR","SF","0.213","","0.213","","","","","","","","","","","","","","",""
"Adam Shaheen","TE","MIA","0.2105","0.194","0.227","","","","","","","","","","","","","","",""
"Corey Clement","RB","PHI","0.205","0.368","0.042","","","","","","","","","","","","","","",""
"Daurice Fountain","WR","IND","0.205","","0.205","","","","","","","","","","","","","","",""
"Bruce Miller","RB","JAC","0.2035","0.22","0.187","","","","","","","","","","","","","","",""
"Ito Smith","RB","ATL","0.2","0.253","0.147","","","","","","","","","","","","","","",""
"Jaylen Samuels","RB","PIT","0.195","0.313","0.077","","","","","","","","","","","","","","",""
"Nelson Agholor","WR","LVR","0.189","0.19","0.188","","","","","","","","","","","","","","",""
"Mike Davis","RB","CAR","0.187","0.045","0.329","","","","","","","","","","","","","","",""
"Jace Sternberger","TE","GB","0.1865","0.154","0.219","","","","","","","","","","","","","","",""
"Cam Akers","RB","LAR","0.186","0.329","0.043","","","","","","","","","","","","","","",""
"Cordarrelle Patterson","WR","CHI","0.1845","0.154","0.215","","","","","","","","","","","","","","",""
"Zay Jones","WR","LVR","0.184","0.143","0.225","","","","","","","","","","","","","","",""
"Chandler Cox","RB","MIA","0.182","0.177","0.187","","","","","","","","","","","","","","",""
"Jake Butt","TE","DEN","0.181","0.271","0.091","","","","","","","","","","","","","","",""
"Andy Isabella","WR","ARI","0.1765","0.171","0.182","","","","","","","","","","","","","","",""
"Alex Armah","RB","CAR","0.176","0.119","0.233","","","","","","","","","","","","","","",""
"Olamide Zaccheaus","WR","ATL","0.176","0.139","0.213","","","","","","","","","","","","","","",""
"Jeremy McNichols","RB","TEN","0.17","0.16","0.18","","","","","","","","","","","","","","",""
"Travis Homer","RB","SEA","0.1685","0.21","0.127","","","","","","","","","","","","","","",""
"Seth Roberts","WR","CAR","0.1675","0.075","0.26","","","","","","","","","","","","","","",""
"Justin Jackson","RB","LAC","0.164","0.164","","","","","","","","","","","","","","","",""
"Jalen Richard","RB","LVR","0.162","0.111","0.213","","","","","","","","","","","","","","",""
"Richie James","WR","SF","0.161","0.161","","","","","","","","","","","","","","","",""
"Jacob Hollister","TE","SEA","0.16","0.177","0.143","","","","","","","","","","","","","","",""
"Khari Blasingame","RB","TEN","0.16","0.123","0.197","","","","","","","","","","","","","","",""
"Royce Freeman","RB","DEN","0.155","0.102","0.208","","","","","","","","","","","","","","",""
"Josh Adams","RB","NYJ","0.1545","0.232","0.077","","","","","","","","","","","","","","",""
"Rashard Higgins","WR","CLE","0.1525","0.219","0.086","","","","","","","","","","","","","","",""
"Tajae Sharpe","WR","MIN","0.151","0.135","0.167","","","","","","","","","","","","","","",""
"Isaiah McKenzie","WR","BUF","0.1495","0.184","0.115","","","","","","","","","","","","","","",""
"Marlon Mack","RB","IND","0.149","0.149","","","","","","","","","","","","","","","",""
"Collin Johnson","WR","JAC","0.1435","0.18","0.107","","","","","","","","","","","","","","",""
"Michael Burton","RB","NO","0.1415","0.25","0.033","","","","","","","","","","","","","","",""
"Devin Duvernay","WR","BAL","0.139","0.186","0.092","","","","","","","","","","","","","","",""
"La'Mical Perine","RB","NYJ","0.138","","0.138","","","","","","","","","","","","","","",""
"Adam Trautman","TE","NO","0.133","","0.133","","","","","","","","","","","","","","",""
"Devontae Booker","RB","LVR","0.1325","0.127","0.138","","","","","","","","","","","","","","",""
"David Johnson","RB","HOU","0.1275","0.255","0","","","","","","","","","","","","","","",""
