Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Chris Godwin,TB,WR,2017,1,27,28,36,65,231,40,61.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,7,25.90%,0,71%,0,-,48,9.6,6.9,4.9,0,0.00%,1.71,34,14.70%,0.49,1.41,27,5,48,0,0.74,9.8,-1.6,38
Chris Herndon,NYJ,TE,2018,1,39,44,29,71,396,45,63.4%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.00%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.00%,0.00,-,0,0,0,0,0.00,0.0,0.0,29
Chris Hogan,NYJ,WR,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Thompson,JAC,RB,2013,1,44,44,21,64,417,20,31.3%,19.0%,6.4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,0.00%,0,0,3,4,9.10%,0,75%,0,-,15,5.0,3.8,2.0,0,0.00%,0.34,8,1.90%,0.15,1.88,18,3,15,0,0.23,4.5,-2.7,39
Christian Kirk,ARI,WR,2018,1,22,24,29,62,240,50,80.6%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,3,13.60%,0,67%,0,-,86,43.0,28.7,14.7,2,100.00%,3.58,44,18.30%,0.33,1.95,49,2,86,2,1.39,22.6,16.8,5
Christian McCaffrey,CAR,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
CJ Beathard,SF,QB,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,0,0,0,-,0.0,0.0,-
CJ Board,NYG,WR,2017,1,18,19,22,48,147,10,20.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,3,16.70%,0,33%,0,-,8,8.0,2.7,9.0,0,0.00%,0.42,27,18.40%,0.38,0.30,5,1,8,0,0.17,1.8,-3.2,79
CJ Uzomah,CIN,TE,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Clyde Edwards-Helaire,KC,RB,2020,1,26,26,41,73,161,49,67.1%,73.2%,21.4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,26,161,0,0.00%,6.2,0,0,0.00%,0,0,4,4,15.40%,0,100%,0,-,8,2.0,2.0,-2.3,0,0.00%,0.31,-9,-5.60%,0.19,-0.89,17,30,169,0,2.32,20.9,2.9,5
